activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,636059,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(CCCC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1)Nc1ccccc1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.42', 'le': '0.29', 'lle': '6.56', 'sei': '5.68'}",CHEMBL70917,,CHEMBL70917,7.92,False,http://www.openphacts.org/units/Nanomolar,127403,=,1,True,=,,IC50,nM,,12.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.012
,637281,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(NCCCC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1)OCc1ccccc1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.12', 'le': '0.29', 'lle': '6.96', 'sei': '5.53'}",CHEMBL69558,,CHEMBL69558,8.22,False,http://www.openphacts.org/units/Nanomolar,127402,=,1,True,=,,IC50,nM,,6.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.006
,637284,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(C2=CN=C(CCC(=O)N3CCN(C(=O)N4C(=O)[C@H](CC5CCNCC5)[C@H]4C(=O)O)CC3)C2=O)cc1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.10', 'le': '0.28', 'lle': '6.59', 'sei': '5.94'}",CHEMBL70404,,CHEMBL70404,8.30,False,http://www.openphacts.org/units/Nanomolar,127400,=,1,True,=,,IC50,nM,,5.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.005
,638590,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(CCCc3ccccc3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.04', 'le': '0.28', 'lle': '5.18', 'sei': '7.46'}",CHEMBL70703,,CHEMBL70703,8.22,False,http://www.openphacts.org/units/Nanomolar,127413,=,1,True,=,,IC50,nM,,6.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.006
,639740,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccccc2-c2ccccc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '14.62', 'le': '0.27', 'lle': '4.85', 'sei': '6.69'}",CHEMBL305877,,CHEMBL305877,7.38,False,http://www.openphacts.org/units/Nanomolar,127411,=,1,True,=,,IC50,nM,,42.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.042
,639742,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2cccc(Oc3ccccc3)c2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '14.53', 'le': '0.27', 'lle': '5.18', 'sei': '6.50'}",CHEMBL305457,,CHEMBL305457,7.77,False,http://www.openphacts.org/units/Nanomolar,127396,=,1,True,=,,IC50,nM,,17.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.017
,639745,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2cccc3ccccc23)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.40', 'le': '0.31', 'lle': '5.49', 'sei': '8.16'}",CHEMBL72532,,CHEMBL72532,9.00,False,http://www.openphacts.org/units/Nanomolar,127397,=,1,True,=,,IC50,nM,,1.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.001
,640039,[],CHEMBL873894,Compound was tested for inhibition of human mast cell tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(CCCC(=O)OCN1C(=O)c2ccccc2S1(=O)=O)NCc1ccc(Cl)c(Cl)c1,,,CHEMBL1132052,Bioorg. Med. Chem. Lett.,1999,"{'bei': '13.68', 'le': '0.29', 'lle': '3.51', 'sei': '6.04'}",CHEMBL160602,,CHEMBL160602,6.64,False,http://www.openphacts.org/units/Nanomolar,312100,=,1,True,=,,IC50,nM,,230.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.23
,640983,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(-c3ccccc3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.01', 'le': '0.30', 'lle': '5.84', 'sei': '7.53'}",CHEMBL71061,,CHEMBL71061,8.30,False,http://www.openphacts.org/units/Nanomolar,127418,=,1,True,=,,IC50,nM,,5.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.005
,642289,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)Nc1ccsc1C(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '13.67', 'le': '0.27', 'lle': '5.83', 'sei': '4.82'}",CHEMBL302711,,CHEMBL302711,6.72,False,http://www.openphacts.org/units/Nanomolar,127430,=,1,True,=,,IC50,nM,,190.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.19
