molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL157487,COc1ccc(CNC(=O)CCCC(=O)OCN2C(=O)c3ccccc3S2(=O)=O)cc1,active,446.4810000000001,1.8270999999999997,1.0,7.0,6.366531544420414
CHEMBL431557,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(Oc3ccccc3)cc2)CC1,active,520.5860000000002,2.658000000000002,2.0,6.0,8.154901959985743
CHEMBL303437,N=C(N)N1CCC[C@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,active,540.6650000000004,1.9608700000000021,3.0,5.0,8.769551078621726
CHEMBL71037,CC(C)(C)NC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1,active,425.49000000000024,-0.8026999999999946,4.0,5.0,8.397940008672037
CHEMBL74179,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc3c(c2)OCO3)CC1,active,486.52500000000043,0.5233000000000028,2.0,7.0,7.259637310505756
CHEMBL71121,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccccc2Oc2ccccc2)CC1,active,520.5860000000002,2.658000000000002,2.0,6.0,6.920818753952375
CHEMBL305738,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCc2ccccc2)CC1,active,484.59700000000043,1.964900000000002,2.0,5.0,8.221848749616356
CHEMBL306488,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cc3ccccc3o2)CC1,active,468.51000000000033,1.611900000000002,2.0,6.0,7.6777807052660805
CHEMBL72520,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(CCCc3ccccc3)cc2)CC1,active,560.6950000000003,2.9699000000000035,2.0,5.0,8.045757490560675
CHEMBL70766,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCc2nc(-c3ccc(Cl)cc3)no2)CC1,active,573.0500000000002,2.278200000000002,2.0,8.0,8.301029995663981
CHEMBL309576,Cc1onc(-c2ccccc2)c1C(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1,active,509.5630000000004,1.8291199999999999,2.0,7.0,6.5376020021010435
CHEMBL69394,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(OCc3ccccc3)cc2)CC1,active,548.6400000000002,2.3736000000000033,2.0,6.0,9.0
CHEMBL71377,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc3ccccc3n2)CC1,active,479.5370000000003,1.4139000000000015,2.0,6.0,6.958607314841775
